MealName,Carbohydrates,Proteins,Fat
Clif Bar Oatmeal Raisen Walnut,14.7,63.2,7.4
PowerBar Sport Energy Cookies & Cream,13.1,65.6,4.9
Soy One Caramel Crunch,27.7,49.2,9.2
Zone Perfect Energy Bar,26.7,48.9,11.1
Broccoli (Fresh),2.8,6.6,0.3
Cauliflower (Fresh),1.8,4.0,0.5
Brussel Sprouts,2.6,7.1,0.5
Mixed Greens,1.7,3.3,0.0
Baby Spinach,1.4,2.8,0.0
Kale,2.4,1.0,1.1
Green Beans (Fresh),1.9,3.2,0.5
snow peas,3.0,8.0,0.0
Carrots,1.2,9.4,0.0
Peas,5.0,12.5,0.0
Mushroom,4.0,5.0,1.0
Courgette,2.0,2.0,0.4
Bok Choy,1.2,3.2,0.2
Onion,1.1,9.3,0.1
Red Peppers,1.0,6.0,0.3
Peaches & Cream Corn,1.6,12.0,3.3
Cucumber,0.6,3.7,0.2
Lettuce,0.8,1.7,0.5
Sun-Dried Tomatoes,14.3,50.0,0.0
Celery,0.3,2.7,0.0
Asparagus (Fresh),3.4,1.4,0.8
Squash,1.2,3.4,0.2
Green Onions,0.0,3.3,0.0
Tomato,0.9,3.9,0.2
Diced Tomatoes (canned),0.8,3.2,0.0
Apple (red delicious),0.1,15.5,0.0
Apple (granny smith),0.0,14.3,0.0
Apple (liberty),0.0,14.3,0.0
Pineapple,0.5,13.1,0.1
Strawberries,0.7,7.7,0.3
Peach,0.9,9.5,0.2
Pears,0.3,9.1,0.1
Lime,0.8,10.6,0.2
Banana,1.1,22.9,0.3
Grapes,0.7,17.2,0.3
Grapefruit,0.6,8.1,0.1
Frozen Strawberries,0.7,8.2,0.0
Frozen Blueberries,0.7,12.9,0.4
Lemon,0.4,8.7,0.0
Mango Chunks,0.7,17.1,0.0
Raspberries,1.0,12.0,1.0
Orange,0.9,11.8,0.1
Mini Manderin Orange,1.0,11.2,0.0
Kiwi (with skin),1.0,9.0,0.0
Pear,0.6,15.1,0.6
Raisins,2.5,80.0,0.0
Dried Apricots,2.5,55.0,0.0
Clementine,0.0,8.0,0.0
Sliced Ripe Olives,1.3,13.3,6.7
Sesame Oil Blend,0.0,0.0,130.0
Udo’s Oil 3 6 9 Blend,1.3,0.0,90.0
Flax Oil,0.0,0.0,93.3
Whole Ground Flaxseed Meal,23.1,30.8,34.6
Chia Seeds,17.4,43.5,34.8
100% Pure Peanut Oil,0.0,0.0,90.0
Bragg Ginger & Sesame,0.0,6.7,40.0
Avocado,2.0,8.5,14.7
Coconut Oil,0.0,0.0,100.0
Blue Cheese Crumbles,25.0,0.0,28.6
Mozzarella Cheese,23.3,0.0,26.7
Goat’s Milk Cheese,17.9,3.6,21.4
Light Feta Cheese,13.3,0.0,16.7
Sunflower oil,0.0,0.0,99.9
Raw Almonds,20.0,20.0,52.5
Pumpkin Raw,22.5,17.5,42.5
Sunflower Seeds,22.5,20.0,50.0
Chocolate Chips,7.0,60.0,30.0
Cashew,17.7,18.1,48.2
Pecans,9.2,13.9,71.9
Walnut Pieces,15.0,12.5,65.0
Olive Oil Spray,0.0,0.0,0.0
Canola Oil Spray,0.0,0.0,100.0
Extra Virgin Olive Oil,0.0,0.0,90.0
Black Pepper,10.9,64.0,3.1
Lemon Pepper (salt-free),0.0,0.0,0.0
Paprika,14.3,57.1,14.3
Parsley,3.0,6.3,0.8
Black Pepper,10.9,64.1,3.1
Garlic,6.7,33.3,0.0
Basil,3.8,1.9,0.0
Red Pepper Flakes,0.0,0.0,0.0
Vanilla Extract,0.0,11.9,0.0
Stevia,0.0,0.0,0.0
Ground Nutmeg,0.0,0.0,0.0
Ground Cinnamon,4.4,80.9,1.5
Pure 100% Orange Juice,0.8,10.8,0.0
100% Grape Juice,0.4,16.4,0.0
Coconut Milk (Carton),0.4,2.9,2.1
1% Milk,3.6,4.8,1.0
Jasmine Green Tea,0.0,0.0,0.0
Peppermint Tea (no caffeine),0.0,0.0,0.0
Almond Milk (Unsweetened),0.4,0.8,1.3
100% Pure Cranberry Juice (Not From Concentrate),0.0,7.4,0.0
Water,0.0,0.0,0.0
Mango Salsa,0.7,13.3,0.0
Rice Vinegar,0.0,6.7,0.0
Apple Cider Vinegar,0.0,3.3,0.0
Balsamic Vinegar,0.0,13.3,0.0
Strawberry Fruit Spread,0.7,53.3,0.0
Hoisin Sauce,1.1,44.4,0.0
Teriyaki Stir Fry Sauce,0.2,17.0,0.0
Vegetable Broth,0.7,1.3,0.0
Chicken Broth Reduced Sodium,0.8,0.4,0.0
Honey,0.0,85.0,0.0
Soy Sauce,10.0,10.0,0.0
Sun-dried Tomato and Oregano Dressing,1.3,13.3,33.3
Dijon Mustard,0.0,0.0,10.0
Peanut Butter (Natural),26.7,20.0,53.3
Sour Cream (Light),3.3,6.7,5.0
Hummus,4.7,20.0,8.7
Natural Raw Almond Butter,20.0,20.0,53.3
Baking Powder,0.0,0.0,0.0
Light Butter,1.0,0.0,60.0
